epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,80.3457,0.3442,0.357,0.86475,0.99837,1,0.995,0.99104,0.17698,0.23028,0.77217,0.0005546,0.0005546,0.0005546
75,81.3581,0.37787,0.35547,0.88607,0.99829,1,0.995,0.99104,0.16918,0.21389,0.77192,0.0005348,0.0005348,0.0005348
76,82.409,0.34192,0.3532,0.85569,0.99825,1,0.995,0.98779,0.16617,0.21405,0.77081,0.000515,0.000515,0.000515
77,83.4507,0.32048,0.35158,0.86571,0.99829,1,0.995,0.98801,0.15854,0.21545,0.77023,0.0004952,0.0004952,0.0004952
78,84.5145,0.35122,0.36427,0.86756,0.9984,1,0.995,0.98854,0.15449,0.21251,0.76965,0.0004754,0.0004754,0.0004754
79,85.5551,0.34024,0.33413,0.86274,0.99838,1,0.995,0.98873,0.16263,0.20686,0.77062,0.0004556,0.0004556,0.0004556
80,86.5958,0.30388,0.32516,0.88172,0.99836,1,0.995,0.995,0.17628,0.20411,0.77216,0.0004358,0.0004358,0.0004358
81,87.6408,0.2809,0.31938,0.84381,0.99835,1,0.995,0.98853,0.17289,0.19159,0.77241,0.000416,0.000416,0.000416
82,88.6981,0.35246,0.33601,0.88672,0.99834,1,0.995,0.98873,0.18086,0.19349,0.77343,0.0003962,0.0003962,0.0003962
83,89.7354,0.27732,0.30449,0.85533,0.99838,1,0.995,0.99182,0.18128,0.19742,0.77384,0.0003764,0.0003764,0.0003764
84,90.789,0.36459,0.33713,0.88443,0.9984,1,0.995,0.99173,0.1779,0.19242,0.77402,0.0003566,0.0003566,0.0003566
85,91.835,0.28782,0.31763,0.86015,0.9984,1,0.995,0.99173,0.17253,0.19002,0.77463,0.0003368,0.0003368,0.0003368
86,92.8783,0.30516,0.32154,0.85141,0.99837,1,0.995,0.99173,0.16924,0.19153,0.77441,0.000317,0.000317,0.000317
87,93.9185,0.29737,0.31329,0.85338,0.9984,1,0.995,0.99173,0.17441,0.19544,0.77395,0.0002972,0.0002972,0.0002972
88,94.9877,0.3146,0.32696,0.85971,0.99839,1,0.995,0.995,0.17856,0.19848,0.7743,0.0002774,0.0002774,0.0002774
89,95.9881,0.29882,0.30913,0.85603,0.99838,1,0.995,0.995,0.17198,0.19173,0.7735,0.0002576,0.0002576,0.0002576
90,97.0279,0.29162,0.30904,0.84737,0.99837,1,0.995,0.995,0.15437,0.18027,0.77139,0.0002378,0.0002378,0.0002378
91,117.088,0.17416,0.32315,0.76255,0.99839,1,0.995,0.995,0.15491,0.17699,0.77174,0.000218,0.000218,0.000218
92,118.238,0.17342,0.3084,0.76477,0.9984,1,0.995,0.995,0.16758,0.18413,0.77315,0.0001982,0.0001982,0.0001982
93,119.332,0.17182,0.29332,0.76971,0.99841,1,0.995,0.995,0.16667,0.18659,0.77341,0.0001784,0.0001784,0.0001784
94,120.457,0.17577,0.28944,0.74853,0.9984,1,0.995,0.995,0.16,0.19648,0.77331,0.0001586,0.0001586,0.0001586
95,121.539,0.16674,0.29012,0.79684,0.99838,1,0.995,0.995,0.15741,0.19938,0.7731,0.0001388,0.0001388,0.0001388
96,122.658,0.18327,0.29638,0.78288,0.99839,1,0.995,0.995,0.15395,0.20465,0.77354,0.000119,0.000119,0.000119
97,123.833,0.14759,0.2845,0.76118,0.99837,1,0.995,0.995,0.15533,0.2069,0.77355,9.92e-05,9.92e-05,9.92e-05
98,124.941,0.15533,0.28092,0.76631,0.99831,1,0.995,0.995,0.15138,0.20577,0.77303,7.94e-05,7.94e-05,7.94e-05
99,126.021,0.15481,0.28627,0.79229,0.99831,1,0.995,0.995,0.14842,0.20324,0.7725,5.96e-05,5.96e-05,5.96e-05
100,127.114,0.14809,0.28176,0.77609,0.99833,1,0.995,0.995,0.14468,0.19837,0.77221,3.98e-05,3.98e-05,3.98e-05
